ein,cik,name,state_inc,hq_state,hq_city,sic,sic_desc,tickers,former_names,last_filing
222568977,0001541188,"BMW Financial Services NA, LLC",DE,NJ,WOODCLIFF LAKE,,,,,2026-02-13
474320975,0001646269,BREWDOG USA INC.,DE,,,2082,Malt Beverages,,,2025-09-30
134996950,0001089670,BURKE JOHN R,DE,NJ,PRINCETON,,,,,2001-02-14
453720765,0001868625,"BarkPark, LLC",DE,NY,NEW YORK,,,,,2021-07-06
453720765,0001539019,"Barkbox, Inc.",DE,NY,NEW YORK,,,,,2021-07-06
475621244,0001710090,Beam Technologies Inc.,DE,OH,COLUMBUS,,,,,2025-08-07
813064148,0001750410,"Bold Penguin, Inc.",DE,OH,COLUMBUS,,,,,2020-09-28
231269309,0001363544,"Bon-Ton Department Stores, Inc.",PA,PA,YORK,,,,,2015-07-14
250530110,0000812701,CALGON CARBON Corp,DE,PA,MOON TOWNSHIP,2810,Industrial Inorganic Chemicals,,CALGON CARBON CORPORATION,2018-04-10
341888626,0001143446,CARDINALCOMMERCE CORP,DE,OH,MENTOR,,,,,2011-06-01
222769024,0000944148,"CBIZ, Inc.",DE,OH,INDEPENDENCE,7389,"Services-Business Services, NEC",CBZ,CENTURY BUSINESS SERVICES INC | INTERNATIONAL ALLIANCE SERVICES INC | REPUBLIC ENVIRONMENTAL SYSTEMS INC,2026-08-27
760509980,0001097797,CHARLES RIVER LABORATORIES INC,,MA,WILMINGTON,2836,"Biological Products, (No Diagnostic Substances)",,,2008-02-11
134994650,0001003854,CHASE MANHATTAN GRANTOR TRUST 1996-A,NY,NY,NEW YORK,6189,Asset-Backed Securities,,,2000-11-29
134994650,0001036821,CHASE MANHATTAN HOME EQUITY LOAN TRUST 1995-1,NY,NY,NEW YORK,6189,Asset-Backed Securities,,,2002-10-01
134996950,0000313927,CHURCH & DWIGHT CO INC /DE/,DE,NJ,EWING,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",CHD,,2026-09-16
311703809,0001182641,CINTAS CORP NO 2,,OH,CINCINNATI,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",,,2025-04-29
470248710,0000023217,CONAGRA BRANDS INC.,DE,IL,CHICAGO,2000,Food and Kindred Products,CAG,CONAGRA FOODS INC /DE/ | CONAGRA INC /DE/,2026-09-17
911295550,0001024726,CORE MARK INTERNATIONAL INC,CA,CA,SAN FRANCISCO,5190,Wholesale-Miscellaneous Nondurable Goods,,,2002-10-18
204055028,0001940303,"COTSWORKS, INC.",DE,OH,HIGHLAND HEIGHTS,,,,,2022-07-29
854115123,0001837752,"CP Prime Holdings, L.P.",DE,DC,WASHINGTON,,,,,2021-01-04
202779385,0001356711,CPG INTERNATIONAL INC.,DE,PA,SCRANTON,3080,Miscellaneous Plastics Products,,COMPRESSION POLYMERS HOLDING II CORP,2013-05-31
364867239,0001715924,Candid Care Co.,DE,NY,NEW YORK,,,,,2020-12-03
410177680,0000884100,"Cargill, Inc",DE,MN,MINNETONKA,,,,CARGILL INC,2011-05-26
454788036,0001692437,Carvana Auto Receivables LLC,,AZ,TEMPE,,,,,2025-01-16
454788036,0001576462,"Carvana, LLC",AZ,AZ,PHOENIX,,,,,2024-02-23
341018992,0001732073,Case Western Reserve University,OH,OH,CLEVELAND,,,,,2020-12-08
270733747,0001887480,Cerkl Inc,DE,OH,CINCINNATI,,,,,2021-10-12
901020167,0001766502,"Chewy, Inc.",DE,FL,PLANTATION,5961,Retail-Catalog & Mail-Order Houses,CHWY,,2026-09-14
340714585,0001372440,Cleveland Clinic Foundation,OH,OH,CLEVELAND,,,,,2007-02-14
